Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
186,Mohammed Rafique,in IND,DF,Chennaiyin,29,1992,1.2,0,1,0,0,0.8,0,0,,,0,0,Matches
187,Mobashir Rahman,in IND,MF,East Bengal,24,1998,8.9,0,6,0,0,0.67,0,0,,,0,0,Matches
188,Asish Rai,in IND,"DF,MF",Mohun Bagan,23,1999,19.2,0,19,8,42.1,0.99,0.42,0,0,,0,0,Matches
189,Vinit Rai,in IND,"MF,DF",Mumbai City,24,1997,4.7,2,4,3,75,0.85,0.64,0.5,0.67,,0,0,Matches
190,Soosai Raj,in IND,MF,Odisha,27,1994,0.1,0,0,0,,0,0,,,,0,0,Matches
191,Mohamad Rakip,in IND,DF,East Bengal,22,2000,2.7,0,1,1,100,0.37,0.37,0,0,,0,0,Matches
192,Paul Ramfangzauva,in IND,MF,Odisha,23,1999,0.3,0,0,0,,0,0,,,,0,0,Matches
193,Bruno Ramires,br BRA,"MF,DF",Bengaluru,28,1994,9,0,7,2,28.6,0.78,0.22,0,0,,0,0,Matches
194,Jayesh Rane,in IND,MF,Bengaluru,30,1991,2.7,0,2,0,0,0.73,0,0,,,0,0,Matches
195,Mandar Rao Dessai,in IND,DF,Mumbai City,30,1992,5.5,0,4,1,25,0.73,0.18,0,0,,0,0,Matches
196,Princeton Rebello,in IND,MF,Goa,23,1999,0.9,0,0,0,,0,0,,,,0,0,Matches
197,Laldinliana Renthlei,in IND,DF,Jamshedpur,23,1998,15.4,0,6,0,0,0.39,0,0,,,0,0,Matches
198,Rochharzela,in IND,"FW,MF",NorthEast Utd,24,1998,5.6,2,7,3,42.9,1.25,0.54,0.29,0.67,,0,0,Matches
199,Lenny Rodrigues,in IND,MF,Goa,35,1987,1,0,1,0,0,0.98,0,0,,,0,0,Matches
200,Lenny Rodrigues,in IND,MF,Mohun Bagan,35,1987,4.9,1,6,1,16.7,1.22,0.2,0.17,1,,0,0,Matches
201,Víctor Rodríguez,es ESP,"MF,FW",Odisha,33,1989,4.7,1,7,2,28.6,1.49,0.43,0.14,0.5,,0,0,Matches
202,P Rohlupuia,in IND,MF,Mumbai City,23,1999,0,0,0,0,,0,0,,,,0,0,Matches
203,Noah Saadaoui,ma MAR,"MF,FW",Goa,29,1992,16.3,9,55,25,45.5,3.38,1.54,0.16,0.36,,0,0,Matches
204,Eli Sabiá,br BRA,DF,Jamshedpur,33,1988,14.1,0,8,1,12.5,0.57,0.07,0,0,,0,0,Matches
205,Sekh Sahil,in IND,MF,Jamshedpur,22,2000,0.8,0,0,0,,0,0,,,,0,0,Matches
206,Alex Saji,in IND,DF,NorthEast Utd,22,2000,6.7,0,5,0,0,0.74,0,0,,,0,0,Matches
207,Mohammad Sajid Dhot,in IND,DF,Chennaiyin,24,1997,0.3,0,0,0,,0,0,,,,0,0,Matches
208,Siva Sakthi,in IND,FW,Bengaluru,21,2001,9.9,6,27,11,40.7,2.72,1.11,0.22,0.55,,0,0,Matches
209,Aakash Sangwan,in IND,DF,Chennaiyin,26,1995,17.4,0,4,0,0,0.23,0,0,,,0,0,Matches
210,Shubham Sarangi,in IND,DF,Odisha,22,2000,6.3,0,3,0,0,0.48,0,0,,,0,0,Matches
211,Harry Sawyer,au AUS,"FW,MF",Jamshedpur,25,1996,9.7,2,41,13,31.7,4.22,1.34,0.05,0.15,,0,0,Matches
212,Suvam Sen,in IND,GK,East Bengal,32,1989,3,0,0,0,,0,0,,,,0,0,Matches
